FECHA,SEMANA,00 TOTAL CDMX,Azcapotzalco,Benito Juárez,Coyoacán,Cuajimalpa de Morelos,Cuauhtémoc,Gustavo A. Madero,Iztacalco,Iztapalapa,Magdalena Contreras,Miguel Hidalgo,Milpa Alta,Tlalpan,Tláhuac,Venustiano Carranza,Xochimilco,Álvaro Obregón
2020-07-09,28,-50.161619046382725,-47.62985,-57.05067,-64.39780999999999,-57.59259,-47.94574,-41.404959999999996,-38.0814,-28.322909999999997,-45.0774,-71.51032,-41.13475,-43.278040000000004,-45.55785,-44.58977,-32.49406,-56.404740000000004
2020-07-10,28,-39.933922543862785,-32.30399,-49.34811,-49.5,-48.18182,-35.257979999999996,-25.42107,-28.991999999999997,-19.04041,-39.86014,-68.60324,-36.363640000000004,-38.55475,-23.69099,-24.6936,-25.51755,-51.74326
2020-07-11,28,-28.40800762631077,-26.0184,-28.56376,-37.355290000000004,-28.80821,-28.05648,-18.364710000000002,-21.36788,-19.77432,-33.88728,-57.53086,-27.86885,-24.49761,-29.949240000000003,-13.609470000000002,-24.3346,-28.9616
2020-07-15,29,-33.675484677083475,-31.3604,-40.55294,-47.79988,-44.45074,-32.93963,-15.28111,-22.11916,-7.1897210000000005,-42.79123,-63.15495,0.0,-30.14743,-22.49071,-17.189529999999998,-15.10184,-46.99212
2020-07-17,29,-35.12362686513758,-28.580809999999996,-43.95915,-50.35185,-43.90374,-31.224890000000002,-14.23066,-21.631999999999998,-12.96145,-38.46154,-65.05754,-11.61616,-34.52302,-20.42918,-17.408079999999998,-18.58686,-49.6038
2020-07-18,29,-22.60826637614054,-17.24704,-26.542659999999998,-33.57345,-20.44199,-23.47845,-13.03064,-16.48258,-11.421489999999999,-27.673409999999997,-52.85714,-38.79781,-15.119620000000001,-31.38748,-4.578012999999999,-21.91065,-18.523529999999997
2020-07-19,29,-28.946677173627535,-16.8233547748639,-33.0225711481845,-35.3545734840699,-39.3220338983051,-33.1082073117017,-15.7894736842105,-14.771395076201598,-25.574015307074898,-34.3719571567673,-54.37100213219621,-52.3255813953488,-32.5037707390649,-31.609195402298898,-22.977481234362003,-22.569906790945396,-38.1700927045546
2020-07-22,30,-35.833187784659614,-33.4939206239963,-41.5849152758313,-49.44745830821779,-47.565118912797296,-30.1673228346457,-22.216882908857897,-31.4662861220121,-9.294696555494811,-38.4083044982699,-63.032063456597,-31.6455696202532,-35.4092526690391,-28.7174721189591,-24.812030075187998,-21.7088922006955,-49.2984816452047
2020-03-03,10,1.9094485490658286,-19.0831556503198,-0.909440245933135,-0.4,-5.773809523809531,-0.4,-0.4,-0.4,-0.4,-0.7096392667060859,-1.1817670230726,-1.74418604651163,-0.4,-0.4,-0.4,-0.4,-0.4
2020-03-04,10,-0.5374104875656593,-10.8969947235605,-0.47139763027137505,-7.454289732770751,-0.4,-0.360892388451439,-2.19445779272786,-1.46271851587585,-0.4,-2.0184544405997698,-0.223438721930513,-0.4,-0.4,-5.94795539033457,-0.4,-0.6954793840039721,-0.4
2020-03-06,10,-0.1634045395450867,-1.3797634691195801,-3.37896566710126,-1.9259259259259298,-1.7112299465240601,-0.4,-0.4,-0.4,-0.4,-7.261968800430339,-10.3003087285995,-16.161616161616198,-4.36219431592861,-0.4,-0.4,-2.47524752475248,-2.2662440570522997
2020-03-07,10,-4.568977257251805,-6.37319316688568,-3.79180826328027,-0.4,-0.4,-0.4,-7.69656699889258,-8.24129141886151,-8.793174625017201,-8.887283236994211,-17.4426807760141,-23.497267759562803,0.0,-6.68358714043993,-0.4,-7.22433460076045,-0.4
2020-03-08,10,-7.235475320581708,-6.82830282038594,-11.383709519136401,-7.1257279890373395,-9.83050847457627,-0.4,-12.9417747266718,-15.3575615474795,-6.104162777674071,-21.713729308666,-30.395640843402,-39.5348837209302,-20.1734539969834,-0.4,-12.844036697247699,-6.2583222370173095,-4.83675937122128
